Best_dup0,EW_dup0,MV_dup0,EG_dup0,ONS_dup0
4.506947754655891e+103,11.185706757094298,5.779043234644736,11.288528820736433,26.499466033155308
4.776012535608848e+103,11.249878535331595,5.810734086014386,11.353117588506628,26.633205354076956
5.117163111027388e+103,11.404848737122046,5.85536124889568,11.5445041489023,26.926211437392272
5.872712244370582e+103,11.619329589677779,5.931620184104811,11.772166200510705,27.228387085551475
6.5252293018425976e+103,11.576347752970628,5.857149098193001,11.75340089763406,27.224973844571824
6.6111013194548465e+103,11.523746115041991,5.837811067609397,11.69963772835782,27.150013828077636
6.722035599595299e+103,11.430711071406552,5.820377000413289,11.600438014292974,26.934605584998724
6.938888468038243e+103,11.314562346130982,5.809101895350081,11.486030388317996,26.578016739862992
7.075376404204556e+103,11.258030392542134,5.810016153470742,11.392339795041012,26.57736918700131
7.381527941214487e+103,11.337540232189463,5.83606020696961,11.462115973816697,26.637141247179724
7.566066139744848e+103,11.276676537042993,5.778883624994992,11.411753470505651,26.25915300308101
7.687350179964957e+103,11.090492342596114,5.682500027254536,11.1859577240974,26.03858205325702
7.843634009123644e+103,11.062698336508642,5.678144126525265,11.159166645475862,26.058447793303046
7.970622443731355e+103,10.889588618344602,5.583988444470852,10.968822265008125,25.76692233096536
8.580693885574554e+103,11.14586601182016,5.657470644845196,11.229350020195874,26.496077506349724
9.660402597196401e+103,11.260176155993053,5.739767893645818,11.388950164252089,26.162161220847622
1.0013876728227817e+104,11.303512195060076,5.8018048711023775,11.43509292937337,26.268165206956102
1.063333514263599e+104,11.377556479666717,5.829042030723745,11.508029843155699,26.237314389221574
1.2025770379564172e+104,11.555833308406028,5.886898342216313,11.703760582489222,26.952645577092227
1.2785318036737446e+104,11.529264521657785,5.867447929436939,11.692567817413119,26.603946653921497
1.3598208557513212e+104,11.505158751087086,5.8474843485663435,11.690874180600177,26.432186163824937
1.4133570028422506e+104,11.629417661476257,5.908768277899524,11.802350340285045,26.761612386041307
1.489946818826272e+104,11.809990213821035,5.998543830569337,12.00275041701345,27.16203740416947
1.6420107911556812e+104,11.776184116833972,5.968580120212115,11.986824023904429,26.92179697016553
